vesselName,callSign,imoNumber,flag,departedTime
MAJESTIC HARMONY,9VCO4,1073121,SG,2025-07-01 15:53:00
JET RAIDER,9V3563,9035735,SG,2025-07-01 15:53:00
PENGUIN INDORAYA I,YB3372,0,ID,2025-07-01 15:59:00
VESUVIO,V7A3488,9740330,MH,2025-07-01 16:00:00
MARLIN DUA,S6SL,9675121,SG,2025-07-01 16:04:00
JPO DELTA,JVZR7,0,MN,2025-07-01 16:07:00
PROFIT BRILLIANCE,S6MF8,9677363,SG,2025-07-01 16:13:00
BATAMINDO III,,0,SG,2025-07-01 16:13:00
IASOS,TCA4683,9233882,TR,2025-07-01 16:15:00
TRANSKO MOLOKO,YEUM,9769403,ID,2025-07-01 16:15:00
SEA FLYTE,YB3450,8623248,ID,2025-07-01 16:23:00
KMTC CHENNAI,D7KC,9375513,KR,2025-07-01 16:35:00
JET FLYTE I,9V5460,9149603,SG,2025-07-01 16:37:00
QUEEN STAR 8,9V3847,9797125,SG,2025-07-01 16:37:00
HORIZON 8,9V2414,9732125,SG,2025-07-01 16:37:00
MAJESTIC PASSION,9VCO3,1073119,SG,2025-07-01 16:37:00
NEW ANSTEEL,VREY3,9334909,HK,2025-07-01 16:45:00
THOR MAGNHILD,9V2628,9303041,SG,2025-07-01 16:45:00
WATERFRONT 1,9V5524,9174517,SG,2025-07-01 16:54:00
NEMRUT BAY,9HA6338,9860788,MT,2025-07-01 17:00:00
MV MOUNFIQ IV,3E8658,1092804,PA,2025-07-01 17:05:00
SEMBILAN ENAM 96,YCQZ,6360100,ID,2025-07-01 17:07:00
WAVEMASTER 9,9V6140,9275232,SG,2025-07-01 17:13:00
MERBAU ERA,9V5179,9133680,SG,2025-07-01 17:24:00
ARIA BUPALA,9V5109,9123556,SG,2025-07-01 17:24:00
AM OCEAN STAR,V7A4738,9336385,MH,2025-07-01 17:25:00
AQUAVITA SOUL,V7A2529,9875604,MH,2025-07-01 17:30:00
DALIL,HZMH,9733806,SA,2025-07-01 17:30:00
WAVEMASTER 8,9V6139,9268459,SG,2025-07-01 17:41:00
RADBOD,V2IE6,1022287,AG,2025-07-01 17:45:00
SAEHAN MARINA,3E5148,9984156,PA,2025-07-01 17:45:00
WAVEMASTER 6,9V6137,9261126,SG,2025-07-01 17:50:00
UNITY OF MAJESTIC,9V3152,1035284,SG,2025-07-01 17:50:00
BATAMFAST 20,9V9613,9103958,SG,2025-07-01 18:01:00
DOLPHIN 8,9V7480,0,SG,2025-07-01 18:02:00
IRRAWADDY DOLPHIN,YDD3003,0,ID,2025-07-01 18:04:00
BREMEN,D5WM8,9450387,LR,2025-07-01 18:05:00
JAZZ,9V5491,9804849,SG,2025-07-01 18:05:00
CAPE RACE,5BRQ3,9601728,CY,2025-07-01 18:25:00
GOLDEN RAIDER,YC3107,8852124,ID,2025-07-01 18:27:00
OPL 88,V3MN3,6658032,BZ,2025-07-01 18:28:00
WAHANA 17,YDA3998,0,ID,2025-07-01 18:40:00
INDO SUKSES 65,,0,ID,2025-07-01 18:40:00
SSI AVENGER,V7QD5,9284544,MH,2025-07-01 18:45:00
DELPHINUS C,D5OS3,9337652,LR,2025-07-01 18:50:00
SUNNY KINDIA,3ERH2,9374064,PA,2025-07-01 18:55:00
HORIZON 6,9V3269,9764609,SG,2025-07-01 18:58:00
SINAR BAJO,9V9068,9942287,SG,2025-07-01 19:05:00
MAJESTIC BOLD,9VBV9,1073133,SG,2025-07-01 19:12:00
MAJESTIC HARMONY,9VCO4,1073121,SG,2025-07-01 19:19:00
CL JEDDAH,5LMR5,9546083,LR,2025-07-01 19:20:00
IBI,3EAR2,9300908,PA,2025-07-01 19:25:00
WATERFRONT 2,9V5525,9174529,SG,2025-07-01 19:28:00
MEGA DAYA 11,YDA3878,9810484,ID,2025-07-01 19:32:00
MARCOPOLO 888,,5644180,ID,2025-07-01 19:32:00
ALLI,9VMK7,9558098,SG,2025-07-01 19:41:00
GALATEIA,5LRP4,9715438,LR,2025-07-01 19:50:00
YM INSTRUCTION,A8KS6,9331086,LR,2025-07-01 19:55:00
EVER GLORY,D5TO4,9786839,LR,2025-07-01 20:00:00
QUEEN STAR 5,9V3845,9797101,SG,2025-07-01 20:01:00
MAJESTIC PASSION,9VCO3,1073119,SG,2025-07-01 20:01:00
THE ETERNAL,3EKP8,9344069,PA,2025-07-01 20:10:00
BACH,A8RV5,9436458,LR,2025-07-01 20:10:00
MSC CORINNA,3FWI6,9307267,PA,2025-07-01 20:10:00
SEA FLYTE,YB3450,8623248,ID,2025-07-01 20:12:00
NORDBORG MAERSK,OYJB2,9885142,DK,2025-07-01 20:20:00
TIANLONG,5LWI6,9378369,LR,2025-07-01 20:20:00
HORIZON 8,9V2414,9732125,SG,2025-07-01 20:23:00
WATERFRONT 1,9V5524,9174517,SG,2025-07-01 20:23:00
EURIPIDES GRAECIA,5BHT5,9843742,CY,2025-07-01 20:30:00
JOGELA,CQIX,9619402,PT,2025-07-01 20:35:00
ABHIMATA 2,YBA4279,3126330,ID,2025-07-01 20:37:00
STI ST CHARLES,V7HZ6,9681144,MH,2025-07-01 20:40:00
WAVEMASTER 7,9V6138,9264257,SG,2025-07-01 20:40:00
QUEEN STAR 8,9V3847,9797125,SG,2025-07-01 20:40:00
X PRESS IRRAWADDY,9V7881,9299513,SG,2025-07-01 20:45:00
MAERSK SHEKOU,9V8228,9466984,SG,2025-07-01 20:50:00
BUDI JASA 19,YB3477,5630277,ID,2025-07-01 20:57:00
BAYSWATER 128,,0,SG,2025-07-01 20:58:00
BW FAITH,9V8607,9580912,SG,2025-07-01 20:58:00
SKY HEIGHT,3FRP,9565405,PA,2025-07-01 21:00:00
BEGONIA,JVCA6,0,MN,2025-07-01 21:03:00
PUSAKA ABADI,9M2072,9288162,MY,2025-07-01 21:20:00
CMA CGM CORAL,9HA4979,9350393,MT,2025-07-01 21:20:00
UNITY OF MAJESTIC,9V3152,1035284,SG,2025-07-01 21:29:00
CHILEAN DOLPHIN,YDD3002,0,ID,2025-07-01 21:33:00
ABERDEEN BAY 2306,,0,ID,2025-07-01 21:33:00
FEDERAL SABLE,V7WS4,9595888,MH,2025-07-01 21:40:00
ASIANFAST 1,9V8583,9852200,SG,2025-07-01 21:44:00
SAGAR SHAKTI,9V9913,9583122,SG,2025-07-01 21:45:00
AYU 28,YCJJ,9413080,ID,2025-07-01 21:58:00
BAY HOPE,3E4049,9952256,PA,2025-07-01 22:00:00
FAIRWAY,5BMQ3,9132454,CY,2025-07-01 22:00:00
AR QUEEN 8,9V7759,0,SG,2025-07-01 22:03:00
ATAKA II,YDAD2,0,ID,2025-07-01 22:07:00
CAPE FAWLEY,V7ON6,9379363,MH,2025-07-01 22:10:00
AL SALAM,5LEF7,9923085,LR,2025-07-01 22:20:00
STAR CLAUDINE,V7VL5,9444534,MH,2025-07-01 22:20:00
MAGMA FIDELITY,5LJT3,9967665,LR,2025-07-01 22:25:00
GLOVIS STAR,C6CF7,9736808,BS,2025-07-01 22:30:00
XIN YANG SHAN,BPBL,9310020,CN,2025-07-01 22:30:00
ATLANTIC DRAGON,V7A2763,9874600,MH,2025-07-01 22:45:00
YANG CHENG 8,9LU2669,9935882,SL,2025-07-01 22:45:00
G SPRING,J2JJ,9040118,DJ,2025-07-01 22:55:00
NAUTICAL NORTH,JVRN5,5630713,MN,2025-07-01 22:57:00
BATAM INDAH 10,YB3743,0,ID,2025-07-01 22:58:00
WINSTAR CHAMPION,9V5745,9208552,SG,2025-07-01 22:59:00
WINSTAR 2320,,0,SG,2025-07-01 22:59:00
SHENG AN HAI,BRNI,9505467,CN,2025-07-01 23:15:00
SC MAJESTIC LXII,YDRV2,9308948,ID,2025-07-01 23:15:00
GRACIELA,3FBN9,9571583,PA,2025-07-01 23:15:00
MARLIN TIGA,9VDF,9675133,SG,2025-07-01 23:27:00
XIN AN YUAN,BOCB5,9407873,CN,2025-07-01 23:40:00
MH TSUBAKI,5LKF9,9861201,LR,2025-07-01 23:45:00
AULAC CONIFER,3WMZ,9389710,VN,2025-07-01 23:45:00
VIRA BHUM,HSGG2,9293246,TH,2025-07-01 23:50:00
KORTRIJK,ONIU,9687514,BE,2025-07-01 23:55:00
